Date,channel_id,channel_title,subscribers,total_views,video_count,Revenue
2025-01-01,UC_synth_channel_123,Tech Mastery AI,10060,678,100,2.9
2025-01-02,UC_synth_channel_123,Tech Mastery AI,10123,1091,100,1.84
2025-01-03,UC_synth_channel_123,Tech Mastery AI,10164,1630,100,2.45
2025-01-04,UC_synth_channel_123,Tech Mastery AI,10246,2459,100,4.08
2025-01-05,UC_synth_channel_123,Tech Mastery AI,10276,3007,101,2.62
2025-01-06,UC_synth_channel_123,Tech Mastery AI,10311,3526,101,2.7
2025-01-07,UC_synth_channel_123,Tech Mastery AI,10358,3966,101,2.47
2025-01-08,UC_synth_channel_123,Tech Mastery AI,10387,4386,101,2.3
2025-01-09,UC_synth_channel_123,Tech Mastery AI,10414,4767,102,1.92
2025-01-10,UC_synth_channel_123,Tech Mastery AI,10451,5199,102,2.23
2025-01-11,UC_synth_channel_123,Tech Mastery AI,10530,6000,102,4.01
2025-01-12,UC_synth_channel_123,Tech Mastery AI,10632,6571,103,3.15
2025-01-13,UC_synth_channel_123,Tech Mastery AI,10673,7335,103,4.05
2025-01-14,UC_synth_channel_123,Tech Mastery AI,10719,7865,103,2.65
2025-01-15,UC_synth_channel_123,Tech Mastery AI,10788,8468,103,2.74
2025-01-16,UC_synth_channel_123,Tech Mastery AI,10856,8900,104,2.18
2025-01-17,UC_synth_channel_123,Tech Mastery AI,10889,9356,104,2.26
2025-01-18,UC_synth_channel_123,Tech Mastery AI,10950,9905,104,2.86
2025-01-19,UC_synth_channel_123,Tech Mastery AI,11019,10591,105,3.51
2025-01-20,UC_synth_channel_123,Tech Mastery AI,11039,11289,105,3.48
2025-01-21,UC_synth_channel_123,Tech Mastery AI,11116,11887,105,3.16
2025-01-22,UC_synth_channel_123,Tech Mastery AI,11181,12635,105,3.99
2025-01-23,UC_synth_channel_123,Tech Mastery AI,11201,13073,106,2.08
2025-01-24,UC_synth_channel_123,Tech Mastery AI,11243,13503,106,2.21
2025-01-25,UC_synth_channel_123,Tech Mastery AI,11323,14190,106,3.63
2025-01-26,UC_synth_channel_123,Tech Mastery AI,11406,14781,106,2.96
2025-01-27,UC_synth_channel_123,Tech Mastery AI,11491,15530,107,3.65
2025-01-28,UC_synth_channel_123,Tech Mastery AI,11550,16135,107,2.82
2025-01-29,UC_synth_channel_123,Tech Mastery AI,11602,16620,107,2.27
2025-01-30,UC_synth_channel_123,Tech Mastery AI,11628,17283,108,3.24
2025-01-31,UC_synth_channel_123,Tech Mastery AI,11682,17904,108,3.46
2025-02-01,UC_synth_channel_123,Tech Mastery AI,11782,18745,108,4.54
2025-02-02,UC_synth_channel_123,Tech Mastery AI,11873,19316,108,3.21
2025-02-03,UC_synth_channel_123,Tech Mastery AI,11929,20031,109,3.19
2025-02-04,UC_synth_channel_123,Tech Mastery AI,11968,20879,109,4.74
2025-02-05,UC_synth_channel_123,Tech Mastery AI,12041,21368,109,2.56
2025-02-06,UC_synth_channel_123,Tech Mastery AI,12097,21837,110,2.24
2025-02-07,UC_synth_channel_123,Tech Mastery AI,12145,22411,110,2.9
2025-02-08,UC_synth_channel_123,Tech Mastery AI,12242,22882,110,2.08
2025-02-09,UC_synth_channel_123,Tech Mastery AI,12338,23876,110,4.82
2025-02-10,UC_synth_channel_123,Tech Mastery AI,12380,24576,111,4.32
2025-02-11,UC_synth_channel_123,Tech Mastery AI,12446,25244,111,3.22
2025-02-12,UC_synth_channel_123,Tech Mastery AI,12482,25801,111,2.91
2025-02-13,UC_synth_channel_123,Tech Mastery AI,12505,26456,112,3.09
2025-02-14,UC_synth_channel_123,Tech Mastery AI,12567,27217,112,3.73
2025-02-15,UC_synth_channel_123,Tech Mastery AI,12600,27900,112,3.39
2025-02-16,UC_synth_channel_123,Tech Mastery AI,12670,28794,112,4.28
2025-02-17,UC_synth_channel_123,Tech Mastery AI,12725,29466,113,3.13
2025-02-18,UC_synth_channel_123,Tech Mastery AI,12793,30185,113,3.39
2025-02-19,UC_synth_channel_123,Tech Mastery AI,12845,30867,113,3.53
2025-02-20,UC_synth_channel_123,Tech Mastery AI,12878,31857,113,5.0
2025-02-21,UC_synth_channel_123,Tech Mastery AI,12943,32438,114,3.35
2025-02-22,UC_synth_channel_123,Tech Mastery AI,13020,33201,114,4.0
