Date,video_id,channel_id,title,published_at,views,likes,comments,duration_seconds
2025-01-02,vid_0000,UC_synth_channel_123,Mastering Python Part 1,2025-01-02,16269,776,113,501
2025-01-09,vid_0001,UC_synth_channel_123,Mastering Python Part 2,2025-01-09,42348,1703,88,1136
2025-01-11,vid_0002,UC_synth_channel_123,Mastering Python Part 3,2025-01-11,102010,7802,989,666
2025-01-14,vid_0003,UC_synth_channel_123,Mastering Python Part 4,2025-01-14,32438,1671,217,873
2025-01-17,vid_0004,UC_synth_channel_123,Mastering Python Part 5,2025-01-17,11360,523,50,338
2025-01-19,vid_0005,UC_synth_channel_123,Mastering Python Part 6,2025-01-19,8465,529,75,722
2025-01-21,vid_0006,UC_synth_channel_123,Mastering Python Part 7,2025-01-21,2610,52,6,495
2025-01-24,vid_0007,UC_synth_channel_123,Mastering Python Part 8,2025-01-24,108164,3821,426,499
2025-01-27,vid_0008,UC_synth_channel_123,Mastering Python Part 9,2025-01-27,24739,1226,107,1097
2025-01-30,vid_0009,UC_synth_channel_123,Mastering Python Part 10,2025-01-30,18195,458,24,610
2025-02-01,vid_0010,UC_synth_channel_123,Mastering Python Part 11,2025-02-01,54012,4029,203,1081
2025-02-04,vid_0011,UC_synth_channel_123,Mastering Python Part 12,2025-02-04,33492,2166,317,1119
2025-02-07,vid_0012,UC_synth_channel_123,Mastering Python Part 13,2025-02-07,123746,6326,736,692
2025-02-12,vid_0013,UC_synth_channel_123,Mastering Python Part 14,2025-02-12,12087,740,93,1030
2025-02-14,vid_0014,UC_synth_channel_123,Mastering Python Part 15,2025-02-14,49764,3256,377,663
2025-02-15,vid_0015,UC_synth_channel_123,Mastering Python Part 16,2025-02-15,28613,1504,190,398
2025-02-16,vid_0016,UC_synth_channel_123,Mastering Python Part 17,2025-02-16,11779,509,57,670
2025-03-04,vid_0017,UC_synth_channel_123,Mastering Python Part 18,2025-03-04,15795,870,63,586
2025-03-05,vid_0018,UC_synth_channel_123,Mastering Python Part 19,2025-03-05,15666,438,43,1151
2025-03-24,vid_0019,UC_synth_channel_123,Mastering Python Part 20,2025-03-24,21931,1331,94,838
2025-03-29,vid_0020,UC_synth_channel_123,Mastering Python Part 21,2025-03-29,91933,4063,419,702
2025-04-01,vid_0021,UC_synth_channel_123,Mastering Python Part 22,2025-04-01,5955,201,14,547
2025-04-02,vid_0022,UC_synth_channel_123,Mastering Python Part 23,2025-04-02,29191,1600,140,491
2025-04-03,vid_0023,UC_synth_channel_123,Mastering Python Part 24,2025-04-03,14611,584,55,757
2025-04-04,vid_0024,UC_synth_channel_123,Mastering Python Part 25,2025-04-04,7300,313,17,1137
2025-04-07,vid_0025,UC_synth_channel_123,Mastering Python Part 26,2025-04-07,15488,718,85,566
2025-04-11,vid_0026,UC_synth_channel_123,Mastering Python Part 27,2025-04-11,21474,817,54,859
2025-04-19,vid_0027,UC_synth_channel_123,Mastering Python Part 28,2025-04-19,70238,1543,147,517
2025-04-21,vid_0028,UC_synth_channel_123,Mastering Python Part 29,2025-04-21,9770,573,29,1173
2025-04-24,vid_0029,UC_synth_channel_123,Mastering Python Part 30,2025-04-24,7327,495,45,1012
2025-04-26,vid_0030,UC_synth_channel_123,Mastering Python Part 31,2025-04-26,26008,2033,300,1030
2025-04-28,vid_0031,UC_synth_channel_123,Mastering Python Part 32,2025-04-28,22041,633,69,914
2025-04-30,vid_0032,UC_synth_channel_123,Mastering Python Part 33,2025-04-30,21707,1213,143,469
2025-05-01,vid_0033,UC_synth_channel_123,Mastering Python Part 34,2025-05-01,112923,9000,818,303
2025-05-04,vid_0034,UC_synth_channel_123,Mastering Python Part 35,2025-05-04,17414,449,25,494
2025-05-12,vid_0035,UC_synth_channel_123,Mastering Python Part 36,2025-05-12,42633,1316,196,350
2025-05-15,vid_0036,UC_synth_channel_123,Mastering Python Part 37,2025-05-15,77386,2940,379,1168
2025-05-23,vid_0037,UC_synth_channel_123,Mastering Python Part 38,2025-05-23,98406,2335,238,379
2025-05-26,vid_0038,UC_synth_channel_123,Mastering Python Part 39,2025-05-26,9938,273,22,700
2025-05-27,vid_0039,UC_synth_channel_123,Mastering Python Part 40,2025-05-27,20208,601,36,1159
2025-05-29,vid_0040,UC_synth_channel_123,Mastering Python Part 41,2025-05-29,11285,665,46,760
2025-06-04,vid_0041,UC_synth_channel_123,Mastering Python Part 42,2025-06-04,64870,3759,304,1104
2025-06-05,vid_0042,UC_synth_channel_123,Mastering Python Part 43,2025-06-05,42648,2824,308,822
2025-06-07,vid_0043,UC_synth_channel_123,Mastering Python Part 44,2025-06-07,28451,2121,172,461
2025-06-08,vid_0044,UC_synth_channel_123,Mastering Python Part 45,2025-06-08,6372,375,35,1125
2025-06-11,vid_0045,UC_synth_channel_123,Mastering Python Part 46,2025-06-11,40503,1986,149,727
2025-06-16,vid_0046,UC_synth_channel_123,Mastering Python Part 47,2025-06-16,22011,741,76,1113
2025-06-17,vid_0047,UC_synth_channel_123,Mastering Python Part 48,2025-06-17,12739,1010,123,694
2025-06-22,vid_0048,UC_synth_channel_123,Mastering Python Part 49,2025-06-22,33880,1932,147,671
2025-06-26,vid_0049,UC_synth_channel_123,Mastering Python Part 50,2025-06-26,23872,998,94,305
