Date,video_id,title,published_at,views,likes,comments,duration_seconds
2025-12-06,VID_L1000,Why YouTube Growth is Hard,2025-12-06 09:47:14,7766,211,55,1108
2025-12-12,VID_L1001,Why YouTube Growth is Easy,2025-12-12 09:47:14,16846,435,77,1068
2025-12-18,VID_L1002,Why YouTube Growth is Weird,2025-12-18 09:47:14,37604,1050,51,493
2025-12-24,VID_L1003,Why YouTube Growth is Fast,2025-12-24 09:47:14,57017,2563,330,1482
2025-12-30,VID_L1004,Why YouTube Growth is Hard,2025-12-30 09:47:14,13894,691,67,1046
2026-01-05,VID_L1005,Why YouTube Growth is Easy,2026-01-05 09:47:14,31056,1332,169,508
2026-01-11,VID_L1006,Why YouTube Growth is Weird,2026-01-11 09:47:14,9461,268,53,463
2026-01-17,VID_L1007,Why YouTube Growth is Fast,2026-01-17 09:47:14,39937,2255,170,500
2026-01-23,VID_L1008,Why YouTube Growth is Hard,2026-01-23 09:47:14,59433,2632,265,1073
2026-01-29,VID_L1009,Why YouTube Growth is Easy,2026-01-29 09:47:14,6386,172,9,1497
2026-02-04,VID_L1010,Why YouTube Growth is Weird,2026-02-04 09:47:14,3511,140,12,1197
2026-02-10,VID_L1011,Why YouTube Growth is Fast,2026-02-10 09:47:14,55050,2469,352,767
2026-02-16,VID_L1012,Why YouTube Growth is Hard,2026-02-16 09:47:14,33693,1295,161,474
2026-02-22,VID_L1013,Why YouTube Growth is Easy,2026-02-22 09:47:14,38911,1274,265,598
2026-02-28,VID_L1014,Why YouTube Growth is Weird,2026-02-28 09:47:14,56028,3090,202,569
2026-03-06,VID_L1015,Why YouTube Growth is Fast,2026-03-06 09:47:14,30966,1005,87,991
2026-03-12,VID_L1016,Why YouTube Growth is Hard,2026-03-12 09:47:14,16500,575,106,1179
2026-03-18,VID_L1017,Why YouTube Growth is Easy,2026-03-18 09:47:14,9716,345,62,1177
2026-03-24,VID_L1018,Why YouTube Growth is Weird,2026-03-24 09:47:14,25685,1274,110,1427
2026-03-30,VID_L1019,Why YouTube Growth is Fast,2026-03-30 09:47:14,10033,291,30,1284
2026-04-05,VID_L1020,Why YouTube Growth is Hard,2026-04-05 09:47:14,31745,1469,35,751
2026-04-11,VID_L1021,Why YouTube Growth is Easy,2026-04-11 09:47:14,34826,1959,233,780
2026-04-17,VID_L1022,Why YouTube Growth is Weird,2026-04-17 09:47:14,26025,1337,169,1412
2026-04-23,VID_L1023,Why YouTube Growth is Fast,2026-04-23 09:47:14,10404,474,61,529
2026-04-29,VID_L1024,Why YouTube Growth is Hard,2026-04-29 09:47:14,38611,2223,132,409
